Costitems,CostType,hours,customer,estimator,status,projectName,dateUpdated,dateCreated,projectNumber,Quantity,cost,sales
Slab On Grade Concrete  ,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,10728.89,"$1,563,735.72 ","$2,079,768.50 "
Slab on Grade Subcontractor ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Audubon Collegeville,1/16/2026,9/19/2025,2518 - AC,100,"$1,067,877.60 ","$1,154,632.17 "
#4 Rebar - 20' Pc,Part,0,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,94221,"$589,823.46 ","$784,465.20 "
Site Concrete  ,Part,0,CH+N Site,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/6/2026,2601 - GLC,3352,"$481,447.76 ","$640,325.52 "
Site Concrete  ,Part,0,Horst Excavating,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/6/2026,2601 - GLC,3352,"$481,447.76 ","$640,325.52 "
3500 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,2746.4,"$385,731.88 ","$513,023.40 "
Slab On Grade Concrete  ,Part,0,"Centurion Construction Group, LLC",Steffy Rick,Bid Submitted,Burkentine Warehouse,1/16/2026,4/8/2025,BW - 25 - 001,2448,"$369,770.40 ","$495,492.34 "
Canadochly Supply Supply And Fab,Subcontractor,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,1,"$424,673.10 ","$475,633.87 "
 Excavation Subcontractor,Subcontractor,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,100,"$421,470.50 ","$467,832.26 "
Poured Wall Subcontractor / Groffdale ,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/4/2025,GR-25-001 ,1000,"$345,000.00 ","$393,300.00 "
 Excavation Sub - Contractor / B.R. Kreider ,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/13/2025,GR-25-001 ,100,"$343,225.00 ","$391,276.50 "
Poured Wall Subcontractor ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Audubon Collegeville,1/16/2026,9/19/2025,2518 - AC,100,"$389,675.40 ","$389,675.40 "
3500 psi Concrete  ,Part,0,Brecknock Builders LLC,Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/20/2025,2511-RP,2072,"$291,012.40 ","$387,046.49 "
3500 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/6/2025,2511-RP,2072,"$291,012.40 ","$387,046.49 "
Site Concrete  ,Part,0,CH+N Site,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/5/2026,2601 - GLC,1960,"$281,514.80 ","$374,414.68 "
Site Concrete  ,Part,0,Horst Excavating,Steffy Rick,Bid Submitted,GLC Lehigh Valley Warehouse,1/16/2026,1/6/2026,2601 - GLC,1960,"$281,514.80 ","$374,414.68 "
 Excavation Subcontractor / BN Excavating ,Subcontractor,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,100,"$325,173.61 ","$364,194.45 "
3500 Psi DVC Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,1515,"$244,717.95 ","$342,605.13 "
