Date,Vendor,Contract,Line Item,Quantity Budgeted,Unit Cost,Total cost,Quantity Delivered,Quantity To Be Delivered,Quantity Put-In-Place,Quantity To Be Put-In-Place,Comments
6/4/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#4 - V-Seal 102 5 gal,1.8,$187.99 ,$338.38 ,2,-1.7,2,-1.7,10 gallons used
6/4/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#12 - L&M Dress Seal WB 5 gal,0.76,$103.34 ,$78.54 ,0.5,0.26,0.5,0.26,2.5 gallons
6/4/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#8 - TK-Floor Hardner and Densifier 55 gal,1.51,$913.09 ,"$1,378.77 ",2,-0.49,2,-0.49,(2) 55 gallon barrels
4/9/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#4 - V-Seal 102 5 gal,1.8,$187.99 ,$338.38 ,1.5,0.3,1.5,0.3,
4/8/2026,"Paradise Masonry, LLC",FTW-004 - Corrugated concrete entrance ,#1 - Site Concrete - Site,42.8,$135.15 ,"$5,784.42 ",27,-10.7,27,-10.7,
4/7/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#1 - Site Concrete - Site,80.6,$135.15 ,"$10,893.09 ",3.5,1.6,3.5,1.6,
4/7/2026,"Paradise Masonry, LLC",FTW-004 - Corrugated concrete entrance ,#1 - Site Concrete - Site,42.8,$135.15 ,"$5,784.42 ",26.5,16.3,26.5,16.3,
4/2/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#3 - #4 Rebar - 20' Pc - Site,464.6,$6.26 ,"$2,908.40 ",0,134.6,25,139.6,
4/1/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#1 - Site Concrete - Site,80.6,$135.15 ,"$10,893.09 ",57,5.1,57,5.1,
4/1/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,#2 - Bollards Concrete,16,$135.15 ,"$2,162.40 ",3,2,3,2,
4/1/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,"#1 - Bollard Sch 40 6""x7'6"" (primed)",32,$182.32 ,"$5,834.24 ",0,6,8,0,
3/31/2026,"Paradise Masonry, LLC",FTW-005 - Family Treasures Billing File,"#4 - Expansion Rigid Foam 6""x10'",1,$5.91 ,$5.91 ,18,-17,18,-17,
3/31/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#3 - #4 Rebar - 20' Pc - Site,464.6,$6.26 ,"$2,908.40 ",0,134.6,296,164.6,
3/31/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad","#2 - Heavy Duty SOG Chair 2-1/2"" - 3""",32.5,$0.48 ,$15.60 ,0,-107.5,140,-107.5,
3/31/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#1 - Site Concrete - Site,80.6,$135.15 ,"$10,893.09 ",6.5,62.1,6.5,62.1,
3/31/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,#2 - Bollards Concrete,16,$135.15 ,"$2,162.40 ",3.5,5,3.5,5,
3/31/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,"#1 - Bollard Sch 40 6""x7'6"" (primed)",32,$182.32 ,"$5,834.24 ",0,6,11,8,
3/30/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,"#1 - Bollard Sch 40 6""x7'6"" (primed)",32,$182.32 ,"$5,834.24 ",0,6,5,19,
3/30/2026,"Paradise Masonry, LLC",FTW-003 - Bollards ,#2 - Bollards Concrete,16,$135.15 ,"$2,162.40 ",2,8.5,2,8.5,
3/30/2026,"Paradise Masonry, LLC","FTW-002 - Aprons, Stoops, Steps & Landings, Ramp at dock, Dumpster pad",#1 - Site Concrete - Site,80.6,$135.15 ,"$10,893.09 ",8,68.6,8,68.6,
3/27/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#9 - Somero S-15R (boom screed) (8 hr minimum) - SOG,2,"$2,160.00 ","$4,320.00 ",1,0,1,0,
3/27/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#7 - L&M Curing Compound,16.59,$56.49 ,$937.17 ,7,2.59,7,2.59,
3/27/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#2 - Fiber - SOG,549,$10.07 ,"$5,528.43 ",289,-30,289,-30,
3/27/2026,"Paradise Masonry, LLC","FTW-001 - Interior slab on grade, Tank slab, Dock leveler, Trench drain ",#1 - Slab On Grade Concrete - SOG,586.61,$134.09 ,"$78,658.53 ",289,6.11,289,6.11,
