RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
1,01-300-10-80|48458345,01-300-10-80,48458345,Food Cost,|51482128,,51482128,Linear
2,05-100-10-60|45901569,05-100-10-60,45901569,Rebar Fabrication Time,|51482129,,51482129,Square Feet
3,05-100-10-10|36741836,05-100-10-10,36741836,"Bollard Sch 40 6""x7'6"" (primed)",|51535291,,51535291,Each
4,05-100-10-10|36741840,05-100-10-10,36741840,"Bollard Sch 40 6""x78"" with cap (primed)",01-300-10-80|51482392,01-300-10-80,51482392,Food Cost
5,05-100-10-10|36746405,05-100-10-10,36746405,Bollard Sleeve,90-100-10-10|51482130,90-100-10-10,51482130,Quickbooks Over and Under Adjustments
6,05-100-10-10|36746408,05-100-10-10,36746408,"Galvanized Bollard 4""",01-200-10-10|51482131,01-200-10-10,51482131,Bonding
7,05-100-10-10|36746422,05-100-10-10,36746422,"Galvanized Bollard 6""",90-100-10-10|51482287,90-100-10-10,51482287,Over/Under
8,05-100-10-30|38977378,05-100-10-30,38977378,Bollards Labor,01-300-10-35|51482200,01-300-10-35,51482200,Mobilization
9,05-100-10-20|38977380,05-100-10-20,38977380,Bollards Concrete,01-300-10-10|51482384,01-300-10-10,51482384,Supervision
10,05-100-10-10|42192615,05-100-10-10,42192615,"Bollard Sch 40 4"" x 7' Stainless Steel with Cap",01-300-10-20|51482385,01-300-10-20,51482385,Management
11,05-100-10-10|43882022,05-100-10-10,43882022,"Bollard Sch 40 4"" x 80"" Stainless Steel with Cap",01-300-10-30|51482386,01-300-10-30,51482386,Labor Travel
12,05-100-10-10|43882030,05-100-10-10,43882030,"Bollard Sch 40 6"" x 80"" Stainless Steel with Cap",01-300-10-70.L|51482387,01-300-10-70.L,51482387,Shop Time
13,05-100-10-10|43882036,05-100-10-10,43882036,"Bollard Sleeve Sch 40 6"" Stainless Steel",01-300-10-40|51482353,01-300-10-40,51482353,Shop Drawings
14,05-100-10-10|43882038,05-100-10-10,43882038,"Bollard Sleeve Sch 40 8"" Stainless Steel",01-300-10-40|51482354,01-300-10-40,51482354,Shop Drawings
15,|37396940,,37396940,Each,02-400-10-20|51482322,02-400-10-20,51482322,Demo Equipment
16,|37417652,,37417652,Linear,02-400-10-10|51482381,02-400-10-10,51482381,Labor Demo
17,|37417654,,37417654,Square Feet,02-500-10-20|51482327,02-500-10-20,51482327,Remediation Equipment
18,90-100-10-10|37378503,90-100-10-10,37378503,Quickbooks Over and Under Adjustments,02-500-10-10|51482383,02-500-10-10,51482383,Labor Remediation
19,01-200-10-10|39581777,01-200-10-10,39581777,Bonding,03-150-10-85|51482248,03-150-10-85,51482248,ADA Plate 2'x3'
20,03-300-00-10|38920807,03-300-00-10,38920807,Foundation Labor,03-150-10-85|51482249,03-150-10-85,51482249,ADA Plate 2'x4'
21,03-300-00-20|38920816,03-300-00-20,38920816,Foundation Concrete,03-150-10-85|51482250,03-150-10-85,51482250,ADA Plate 2'x5'
22,03-100-10-10|38920838,03-100-10-10,38920838,Foundation Forms Labor,03-150-10-85|51482242,03-150-10-85,51482242,Powder Release 5 Gal
23,03-100-10-20|38930516,03-100-10-20,38930516,Foundation Wood Forms,03-150-10-85|51482243,03-150-10-85,51482243,Color Hardener 5 Gal
24,03-100-10-20|38930525,03-100-10-20,38930525,Foundation Aluminum Forms,03-150-10-85|51482244,03-150-10-85,51482244,Integral Color
25,03-100-10-40|38930602,03-100-10-40,38930602,Foundation Form Rentals,03-150-10-85|51482245,03-150-10-85,51482245,Surface Deactivator
26,03-200-10-10|38930617,03-200-10-10,38930617,Foundation Rebar Labor,03-150-10-85|51482246,03-150-10-85,51482246,Eco-stain
27,03-200-10-20|38930637,03-200-10-20,38930637,#4 Rebar - 20' Pc,03-150-10-85|51482247,03-150-10-85,51482247,Stamp Rental
28,03-200-10-20|38930638,03-200-10-20,38930638,#3 Rebar - 20' Pc,03-150-10-85|51482227,03-150-10-85,51482227,"Expansion Noma-Flex 6""x10'"
29,03-200-10-20|38930643,03-200-10-20,38930643,#5 Rebar - 20' Pc,03-150-10-85|51482228,03-150-10-85,51482228,"Expansion Noma-Flex 12""x10'"
30,03-200-10-20|38930647,03-200-10-20,38930647,#6 Rebar - 20' Pc,03-150-10-85|51482229,03-150-10-85,51482229,"Foam Expansion Roll 1/4""x4""x100'"
31,03-200-10-20|38930648,03-200-10-20,38930648,#7 Rebar - 20' Pc,03-150-10-85|51482230,03-150-10-85,51482230,"Foam Expansion Roll 1/2""x4""x50'"
32,03-200-10-20|38930652,03-200-10-20,38930652,#8 Rebar - 20' Pc,03-150-10-85|51482231,03-150-10-85,51482231,"Foam Expansion Roll 1/2""x6""x50'"
33,03-200-10-20|38930660,03-200-10-20,38930660,#9 Rebar - 20' Pc,03-150-10-85|51482232,03-150-10-85,51482232,"Foam Expansion Roll 1/2""x8""x50'"
34,03-200-10-20|38930666,03-200-10-20,38930666,#11 Rebar - 20' Pc,03-150-10-85|51482233,03-150-10-85,51482233,"Rubber Expansion Pc. 1/2""x4""x10'"
35,03-200-10-20|38930667,03-200-10-20,38930667,#10 Rebar - 20' Pc,03-150-10-85|51482234,03-150-10-85,51482234,"Rubber Expansion Pc. 1/2""x6""x10'"
36,03-300-00-20|38970802,03-300-00-20,38970802,Fiber,03-150-10-85|51482235,03-150-10-85,51482235,"Expansion Noma-Flex 4""x10'"
37,03-300-00-30|38982887,03-300-00-30,38982887,Telehandler 8000 lb (In-House),03-150-10-85|51482236,03-150-10-85,51482236,"Expansion Cap (snap cap) 1/2""x10'"
38,03-300-00-40|38982888,03-300-00-40,38982888,Telehandler 8000 lb (Rental),03-150-10-85|51482237,03-150-10-85,51482237,Touch N Foam 12 oz
39,03-300-00-30|38982889,03-300-00-30,38982889,Telehandler 8000 lb (In-House),03-150-10-85|51482238,03-150-10-85,51482238,Great Stuff Insulating Foam 12 oz
40,03-300-00-40|38982890,03-300-00-40,38982890,Scissor Lift Rental,03-150-10-85|51482239,03-150-10-85,51482239,"GreenGuard Scoreboard 2""x4'x8'"
41,03-300-00-12|38994020,03-300-00-12,38994020,Continuous Footing Labor,03-150-10-85|51482240,03-150-10-85,51482240,"GreenGuard Scoreboard 1.5""x4'x8"
42,03-300-00-16|38994021,03-300-00-16,38994021,Spreadfooting Labor,03-150-10-85|51482241,03-150-10-85,51482241,"GreenGuard Scoreboard 1""x4'x8'"
43,03-300-00-14|38994023,03-300-00-14,38994023,Pier Labor,03-150-10-85|51482186,03-150-10-85,51482186,EPS Foam Concrete Adhesive 14 oz
44,03-300-00-50|39582162,03-300-00-50,39582162,Foundation Subcontractor,03-150-10-85|51482187,03-150-10-85,51482187,Planitop X 50 lb Bag
45,03-300-00-30|39582221,03-300-00-30,39582221,Tower Light,03-150-10-85|51482188,03-150-10-85,51482188,Quikrete Concrete Mix 80 Lb bag
46,03-300-00-30|39582222,03-300-00-30,39582222,Concrete Buggy,03-150-10-85|51482189,03-150-10-85,51482189,Pc-Concrete Repair Epoxy
47,03-300-10-30|36836739,03-300-10-30,36836739,Tower Light,03-150-10-85|51482190,03-150-10-85,51482190,Sika AnchorFix1
48,03-300-10-30|36836740,03-300-10-30,36836740,Concrete Buggy,03-150-10-85|51482191,03-150-10-85,51482191,Super Air Plus 1 Bag
49,03-100-20-20|37227306,03-100-20-20,37227306,TK Gold Form Release,03-150-10-85|51482192,03-150-10-85,51482192,Mini Delay Set
50,03-100-20-10|38935026,03-100-20-10,38935026,Wall Forms Labor,03-150-10-85|51482193,03-150-10-85,51482193,Precision Non-Shrink Grout 50lb
51,03-300-10-10|38935032,03-300-10-10,38935032,Wall Labor,03-150-10-85|51482194,03-150-10-85,51482194,"Fiber 3/4"" Length 1 LB.Bag"
52,03-300-10-20|38935037,03-300-10-20,38935037,Wall Concrete,03-150-10-85|51482195,03-150-10-85,51482195,"Keyway- Screed Key Pc. 3.5""x10'"
53,03-200-20-20|38935047,03-200-20-20,38935047,#4 Rebar - 20' Pc,03-150-10-85|51482196,03-150-10-85,51482196,"Keyway- Screed Key Pc. 5.5""x10'"
54,03-200-20-20|38935048,03-200-20-20,38935048,#3 Rebar - 20' Pc,03-150-10-85|51482197,03-150-10-85,51482197,"Quick Joint zip strip Pc. 1""x10'"
55,03-200-20-20|38935049,03-200-20-20,38935049,#5 Rebar - 20' Pc,03-150-10-85|51482198,03-150-10-85,51482198,"Wood Chamfer Pc. 3/4""x3/4""x10'"
56,03-200-20-20|38935050,03-200-20-20,38935050,#6 Rebar - 20' Pc,03-150-10-85|51482199,03-150-10-85,51482199,Non Metallic Floor Hardener 50 lb. Bag
57,03-200-20-20|38935051,03-200-20-20,38935051,#7 Rebar - 20' Pc,03-150-10-85|51482212,03-150-10-85,51482212,"Standard Wall Construction 18"" x 12'"
58,03-200-20-20|38935052,03-200-20-20,38935052,#8 Rebar - 20' Pc,03-150-10-85|51482213,03-150-10-85,51482213,"Standard Wall Construction 30"" x 12'"
59,03-200-20-20|38935053,03-200-20-20,38935053,#9 Rebar - 20' Pc,03-150-10-85|51482214,03-150-10-85,51482214,"Standard Wall Construction 12"" x 12'"
