Project Name,Chosen Customer,Status,Hours,Is Duplicate,Other Customers
"121 S Prince Street","CCS Building Group","Lost",8,false,
"218 East Madison Street","Heck Construction","Bid Submitted",130,false,
"34 E Roseville Road","Murry Communities, Ltd.","Bid Submitted",536,false,
"701 Poplar Church Rd","","Estimating",null,false,
"701 Poplar Church Road","Heck Construction","In Progress",240.07,false,
"AB Martin 34 Denver Road","AB Martin","Complete",497,false,
"ACTS Lower Gwynedd - Oakbridge Terrace","Warfel Construction","Bid Submitted",2110.5,true,Wohlsen Construction Company
"Agape Safe Haven","Scenic Ridge Construction","Bid Submitted",1074.5,false,
"Agape Safe Haven - Arthur Funk","Funk Construction","Bid Submitted",1074.5,false,
"Agape Safe Haven - Speedwell","Speedwell Construction Inc.","Bid Submitted",1074.5,false,
"Alderfer Eggs Curb","Hoover Building Specialists, Inc.","Bid Submitted",37,false,
"Alexander Drive Addition","Scenic Ridge Construction","In Progress",262,true,
"Alexander Drive Addition Latest","Scenic Ridge Construction","Accepted",262,false,
"Alza","Brecknock Builders LLC","Bid Submitted",91.36,false,
"Arconic B&G","Warfel Construction","Bid Submitted",750,false,
"Ardmore House II","Harkins Builders","Lost",1788,false,
"Audubon Collegeville","High Construction Company","Estimating",null,false,
"Ave Horsham Apartments + Garage","CBG Building Company","Bid Submitted",17490.5,false,
"Baron Run","B.R. Kreider & Son, Inc.","Bid Submitted",965,false,
"Blue Ball Church","Blue Ball Mennonite Church","Delayed",509.5,false,
"Blue Ridge School","J.E. Horst Building and Remodeling","In Progress",566.2399999999999,false,
"Brixmor - Barn Plaza","Milex Construction, LLC","Estimating",null,false,
"Broadcasting District Site","CH+N Site","In Progress",6384,false,
"Broadcasting Village","Buch Construction","Bid Submitted",8654,false,
"Brookside Enterprise Phase 6","B.R. Kreider & Son, Inc.","Bid Submitted",889.33,false,
"Brookside Phase 8","Heck Construction","Bid Submitted",1136,false,
"Burkentine Warehouse","Centurion Construction Group, LLC","Bid Submitted",5199.31,false,
"Burkholder Tractor","Hoover Building Specialists, Inc.","In Progress",1532.49,false,
"Butler Annville Pump House","J.E. Horst Building and Remodeling","In Progress",148,false,
"California Closets","Hoover Building Specialists, Inc.","Lost",229,false,
"Canine Partners for Life","C. Raymond Davis & Sons, Inc.","In Progress",531,false,
"CANVAS Lawrenceville-Apartments","CBG Building Company","Bid Submitted",15167,false,
"Caring Cupboard","Funk Construction","Bid Submitted",2284.140000000001,false,
"Cavod Performing Arts Center","","Bid Submitted",157,false,
"Center Mennonite Church","Hoover Building Specialists, Inc.","Bid Submitted",122,false,
"Chabad House","C. Raymond Davis & Sons, Inc.","Bid Submitted",1494.5,false,
"Chester County SWA HHW Facility","Heck Construction","Bid Submitted",1208,false,
"Christian Aid Ministry","Hoover Building Specialists, Inc.","Delayed",55.6,false,
"Clark Associates Lancaster","B.R. Kreider & Son, Inc.","Complete",472.49,false,
"Clark Transport Addition","Hoover Building Specialists, Inc.","Lost",256,false,
"Cloister Warehouse","Heck Construction","Bid Submitted",962,false,
"Collegeville Apartments","High Construction Company","Bid Submitted",13173,false,
"Collegeville Apartments Site","B.R. Kreider & Son, Inc.","Bid Submitted",1707,false,
"Commerce Drive Production Facility","Keystruct Construction LLC","Bid Submitted",4186.96,false,
"Complete Recycling Group","Wynstride","Bid Submitted",1421,true,DML Poured Walls
"CONSTRUCT HANGAR AND PARKING LOT - INDIANA COUNTY JIMMY STEWART AIRPORT","Dove Contracting Inc","Invitations",null,false,
"Coplay Loadout Addition","Centurion Construction Group, LLC","In Progress",1284.5,false,
"Cornwall Manor Grandview Circle","Benchmark Construction Co., Inc.","Bid Submitted",822.5099999999999,false,
"Cornwall Manor Woods Campus Apartments","Funk Construction","Bid Submitted",2135,false,
"Country Meadows - York - Entrance","CCS Building Group","Lost",396.5,false,
"Cozy Cabins","Hoover Building Specialists, Inc.","Bid Submitted",3811.239999999999,true,Brecknock Builders LLC
"Cozy Cabins Mezzanine 2025","Hoover Building Specialists, Inc.","Bid Submitted",98.67,false,
"Cozy Cabins Shed","Hoover Building Specialists, Inc.","Bid Submitted",201.87,true,Brecknock Builders LLC
"Cross Keys Road Extension","B.R. Kreider & Son, Inc.","Bid Submitted",336,false,
"Crossroads Beverage","Wohlsen Construction Company","Lost",9462.03,false,
"Cumberland Township Municipal Building","Keystruct Construction LLC","Lost",685,true,"Callas Contractors, Inc."
"DAF Water Treatment Plant","Centurion Construction Group, LLC","Bid Submitted",769.5,false,
"Dan Rysewski","Hoover Building Specialists, Inc.","Bid Submitted",414.5,false,
"Deck Craft Plus","Brecknock Builders LLC","Bid Submitted",144.5,false,
"Deihm Services","Hoover Building Specialists, Inc.","Bid Submitted",1383.11,false,
"Denver Cold Storage Washington Street","Hoover Building Specialists, Inc.","Bid Submitted",401.02,false,
"Destiny Builders","Hoover Building Specialists, Inc.","Bid Submitted",478,false,
"Distefano Landscape","Hoover Building Specialists, Inc.","Bid Submitted",218.5,false,
"Dormakaba Reamstown","Heck Construction","Bid Submitted",65,false,
"Dublin Village II Apartments","Metropolitan Companies","Lost",738.5,false,
"Ducklings Ambassador Circle","Heck Construction","In Progress",1341.6,true,
"Ducklings Ambassador Circle Site","","Estimating",null,true,BN Excavating Inc.
"Dutch Cousins Campground","J.E. Horst Building and Remodeling","In Progress",623.5,false,
"DVGRR","Heck Construction","Bid Submitted",416.76,false,
"Eagle Car Wash Equipment","Hoover Building Specialists, Inc.","Bid Submitted",275.5699999999999,false,
"Eagle Point","B.R. Kreider & Son, Inc.","Lost",873.1,false,
"Eagle Point - Horst","Horst Excavating","Bid Submitted",873.1,false,
"Earl R Martin- Truck Shop","Hoover Building Specialists, Inc.","Bid Submitted",337.17,false,
"EASS Renovation","Heck Construction","Lost",193.65,false,
"Eastern Palace Restaurant","Heck Construction","Bid Submitted",577,false,
"Edge Metal Works","Brecknock Builders LLC","Bid Submitted",794,false,
"Edge Metalworks","Hoover Building Specialists, Inc.","Bid Submitted",811,false,
"Engel Architects Basement","","Estimating",22.5,false,
"Engel Architects Basement VOID","Engel Architects","Complete",null,false,
"Engel Properties","Smucker Brothers Construction","Bid Submitted",357,false,
"Family Treasures Wholesale","Hoover Building Specialists, Inc.","In Progress",795.49,false,
"Farmer Boy Ag","J.E. Horst Building and Remodeling","Bid Submitted",1566.5,true,"Hoover Building Specialists, Inc."
"Fellowship Community - IL Apartment Building","Benchmark Construction Co., Inc.","Bid Submitted",5563.270000000003,false,
"Fisher Project","Universe Construction LLC","Lost",414,false,
"Fleetwood Polebarns","","Bid Submitted",684.2,false,
"FOR_SOP_CREATION","SOP Inc","Lost",434,false,
"Foxcraft Cabinets","J.E. Horst Building and Remodeling","Bid Submitted",603,true,"Hoover Building Specialists, Inc."
"Frecon Farms","Brecknock Builders LLC","Bid Submitted",1463.5,false,
"Fresh Express Cull Waste Expansion","Centurion Construction Group, LLC","Bid Submitted",780,false,
"Gables 608","","Estimating",null,false,
"Gables 608 Patio","CCS Building Group","Complete",74,false,
"Gables 833 Patio","CCS Building Group","Complete",74,false,
"Gables 852 Patio","CCS Building Group","Complete",74,false,
"Garden Spot - Sycamore Springs","Warfel Construction","Bid Submitted",6258,false,
"Garden Spot Fire & Rescue","Hoover Building Specialists, Inc.","Lost",693.5,false,
"Gateway Church","Hoover Building Specialists, Inc.","Delayed",1182.5,false,
"Giant #6459","Ames Construction, Inc.","Estimating",2409,false,
"Giant #6582","Ames Construction, Inc.","In Progress",3756,false,
"Giant Food Store","Lynmar Builders","Lost",4173,true,Speedwell Construction Inc.
"Giant Food Store #6582","A & E Construction, Inc.","Lost",4173,false,
"Gish Furniture Sitework","Heck Construction","In Progress",539,false,
"GLC Lehigh Valley Warehouse","Horst Excavating","Bid Submitted",6702.5,true,CH+N Site
"Glicks Woodworks","Rocky View Construction","Bid Submitted",507.4,false,
"Godshall's Quality Meats","Centurion Construction Group, LLC","Bid Submitted",4040.5,false,
"Golden Barrel Addition","Hoover Building Specialists, Inc.","Lost",116.13,false,
"Goods Store - Ephrata State Street","Hoover Building Specialists, Inc.","Complete",19,false,
"Goods Store Quarryville","Hoover Building Specialists, Inc.","In Progress",1433.1,false,
"Greenfield Clubhouse","High Construction Company","Complete",561,false,
"Greenscapes","Hench General Contracting, LLC","Bid Submitted",397.5,false,
"Greystar Great Valley Residential","IMC Construction","Lost",13345,false,
"GSK B40 Loading Dock","Hershey Excavating LLC","Lost",1196,false,
"Guardian Barrier Mt Joy Wire Lot","Heck Construction","Bid Submitted",1412,false,
"Guardian Barriers","Heck Construction","Complete",43,false,
"Hanover Community Church","Conowongo Builders","Lost",812.53,false,
"Harrisburg Christian School","Centurion Construction Group, LLC","Complete",208,false,
"Hearthside Building","Double H Construction LLC","Bid Submitted",324,false,
"Heritage Metalworks","Hoover Building Specialists, Inc.","Bid Submitted",222.0000000000001,false,
"Hershey Lumber Company","Benchmark Construction Co., Inc.","Bid Submitted",13599.36,false,
"Hershey Park Artist Compound","B.R. Kreider & Son, Inc.","Lost",1497,false,
"High Steel 604 Projects","High Steel Structures, LLC","Bid Submitted",499.77,false,
"High Steel 604 Projects Hershey Excavating","Hershey Excavating LLC","Bid Submitted",440.67,false,
"Highlands Flex Warehouse","High Construction Company","Bid Submitted",5054.5,false,
"If It's Water","Hoover Building Specialists, Inc.","Bid Submitted",427.5,false,
"Illuminated Integration - Warehouse","Centurion Construction Group, LLC","Bid Submitted",1213.6,false,
"J-Tech","Hoover Building Specialists, Inc.","Bid Submitted",3393.75,false,
"Jersey Mikes WVA","CCS Building Group","Lost",41.7,false,
"John F Martin","Scenic Ridge Construction","In Progress",3060,false,
"John Stoltzfus","","Estimating",null,false,
"Katallasso","Centurion Construction Group, LLC","Bid Submitted",1228,false,
"Kemper Equipment","Hoover Building Specialists, Inc.","In Progress",337,false,
"Kettle And Fire Cooling Tower Pad","High Construction Company","Bid Submitted",200.2,false,
"Kings Casual","Hoover Building Specialists, Inc.","Bid Submitted",821.5,false,
"Krager Properties","Hoover Building Specialists, Inc.","Bid Submitted",230,false,
"L&L Marketplace","J.E. Horst Building and Remodeling","Bid Submitted",2117.9,false,
"La Petite Academy","Paul Risk Construction","Bid Submitted",1159.5,false,
"Ladder Tower Addition","Hoover Building Specialists, Inc.","Bid Submitted",331.34,false,
"Lancaster Archery","Weaver Construction","Bid Submitted",2478,true,Warfel Construction
"Lancaster Archery Site","BN Excavating Inc.","Bid Submitted",617,false,
"Lancaster Log Cabins 2025","Hoover Building Specialists, Inc.","Bid Submitted",5705.989999999999,false,
"Lanchester Landfill - WAGA Energy","Berg Construction","Bid Submitted",1927.36,false,
"Lanco Lift","Hoover Building Specialists, Inc.","Bid Submitted",563.5,false,
"Landis Homes - Facilities Building","Warfel Construction","Bid Submitted",291,false,
"Landis Homes - Grounds Keeping Building","Warfel Construction","Bid Submitted",668.8,false,
"Landis Homes - The Meadows Building 3","Warfel Construction","Bid Submitted",466,false,
"Landis Homes Barn","Warfel Construction","Bid Submitted",795,false,
"Landis Homes Healthcare Suite","Ebersole Builders","Bid Submitted",217,true,Heck Construction
"Lebanon Steel Works","Heck Construction","Bid Submitted",200.5,false,
"Lime Spring Office Building","Heck Construction","Bid Submitted",1301.24,false,
"Loft Community Partners","CCS Building Group","Complete",108,false,
"Londonderry Village Villa B","Funk Construction","Complete",556.25,false,
"Longwood Gardens Repair","Bancroft Construction","Complete",31,false,
"LStoltzfus","Paradise Masonry, LLC","Complete",153.44,false,
"Lumber Storage Building","MK Builders","Bid Submitted",573,false,
"Manada Electric","Heck Construction","Estimating",null,false,
"Martin Appliance- Reading","Hoover Building Specialists, Inc.","Bid Submitted",1783.7,false,
"MB Glick","Hoover Building Specialists, Inc.","Delayed",140,false,
"McIlvaine Tree and Lawn","Hoover Building Specialists, Inc.","Bid Submitted",151.6,false,
"Meadows Hybrid Homes Buildings 1 &2","Benchmark Construction Co., Inc.","Lost",2006,true,EGStoltzfus Commercial Construction; High Construction Company
"Mechanicsburg Volunteer Fire Department","Centurion Construction Group, LLC","In Progress",1860.5,true,
"Melard Coach","Brecknock Builders LLC","Bid Submitted",295.5,false,
"Melvin Weaver 2024","Hoover Building Specialists, Inc.","Estimating",675,false,
"Members First Gettysburg","Centurion Construction Group, LLC","Bid Submitted",137,false,
"Memory Care 3A","CCS Building Group","In Progress",1863.5,false,
"Memory Care Meditation Building","CCS Building Group","In Progress",1948,false,
"Mennonite Disaster Services","Hoover Building Specialists, Inc.","Bid Submitted",351,false,
"Mercedes of Wilmington","C. Raymond Davis & Sons, Inc.","Bid Submitted",3394.650000000001,false,
"Mercedes of Wilmington PR","Paul Risk Construction","Bid Submitted",3394.650000000001,false,
"Mercersburg WWTP","Precise Concrete Walls","Bid Submitted",396.5,false,
"Messiah Lifeways Fernecrest Apartments","Benchmark Construction Co., Inc.","Bid Submitted",4005,false,
"Metzler's Gymnastic Center","Hoover Building Specialists, Inc.","Delayed",323.5,false,
