PROJECT NAME,CHOSEN CUSTOMER,STATUS,HOURS,IS_DUPLICATE
"ACTS Lower Gwynedd - Oakbridge Terrace","Warfel Construction","Bid Submitted",2110.5,true
"Alexander Drive Addition","Scenic Ridge Construction","In Progress",262,true
"Complete Recycling Group","Wynstride","Bid Submitted",1421,true
"Cozy Cabins","Hoover Building Specialists, Inc.","Bid Submitted",3811.239999999999,true
"Cozy Cabins Shed","Hoover Building Specialists, Inc.","Bid Submitted",201.87,true
"Cumberland Township Municipal Building","Keystruct Construction LLC","Lost",685,true
"Ducklings Ambassador Circle","Heck Construction","In Progress",1341.6,true
"Ducklings Ambassador Circle Site","","Estimating",0,true
"Farmer Boy Ag","J.E. Horst Building and Remodeling","Bid Submitted",1566.5,true
"Foxcraft Cabinets","J.E. Horst Building and Remodeling","Bid Submitted",603,true
"GLC Lehigh Valley Warehouse","Horst Excavating","Bid Submitted",6702.5,true
"Giant Food Store","Lynmar Builders","Lost",4173,true
"Lancaster Archery","Weaver Construction","Bid Submitted",2478,true
"Landis Homes Healthcare Suite","Ebersole Builders","Bid Submitted",217,true
"Meadows Hybrid Homes Buildings 1 &2","Benchmark Construction Co., Inc.","Lost",2006,true
"Mechanicsburg Volunteer Fire Department","Centurion Construction Group, LLC","In Progress",1860.5,true
"Modern Country Homes","Modern Country Homes","Bid Submitted",322,true
"Railroad Museum of PA","eciConstruction","Lost",3352.5,true
"Rushtown Poultry","Brecknock Builders LLC","Bid Submitted",3609.5,true
"Sadsbury Commons","Milex Construction, LLC","Accepted",7599.5,true
"St Peters","Funk Construction","Bid Submitted",811.5,true
"St Peters Church","Keller Contracting LLC","Bid Submitted",811.5,true
"Townplace Suites - Lebanon","American Construction And Concrete","Lost",1428,true
"Village at Painters Crossing","Caritas Construction","Bid Submitted",2149.5,true
"Wawa #8236","Speedwell Construction Inc.","Bid Submitted",1281,true
"Weavertown Mennonite School","Brecknock Builders LLC","Bid Submitted",831,true
