CostItem,CostType,PMCGroup
  Labor,Labor,Labor 
 #7 H Rebar - 20' Pc,Part,Part
 #8 H Rebar - 20' Pc,Part,Part
 #8 Stone,Part,Part
 1. Labor,Labor, 1. Labor
 1. Labor Prep ,Labor, 1. Labor Prep 
 1. Prep Labor,Labor,Labor 
 1. Prep Labor ,Labor,Labor 
 2. Continuous Footers Labor ,Labor,Foundation Labor 
 3000 Psi Boger Concrete,Part,Part
 3000 PSI Concrete,Part,Part
 3000 PSI Concrete Footers,Part,Part
 3000 Psi DVC Concrete,Part,Part
 3000 Psi Kinsley Concrete  ,Part,Part
 3000 Psi LW Concrete,Part,Part
 3000 Psi Rohrers Concrete,Part,Part
 3000 Psi Rohrers Concrete  ,Part,Part
 3000 Psi Trans-Fleet Concrete,Part,Part
 3000 Psi York Concrete  ,Part,Part
 3500 psi Concrete,Part,Part
 3500 Psi Concrete  ,Part,Part
 3500 psi Concrete with F100 Fiber,Part,Part
 3500 PSI Concrete With F100 Fiber ,Part,Part
 3500 psi Concrete with F100 Fiber Mesh,Part,Part
 3500 Psi DVC Concrete  ,Part,Part
 3500 Psi Rohrers Concrete,Part,Part
 3500 Psi Rohrers Concrete  ,Part,Part
 3500 Psi Trans- Fleet Concrete,Part,Part
 3500 Psi Trans-Fleet Concrete,Part,Part
" 4"" 3500 psi Concrete with F100 Fiber",Part,Part
 4000 Psi Boger Concrete,Part,Part
 4000 psi Concrete,Part,Part
 4000 Psi Concrete  ,Part,Part
 4000 psi Concrete with F100 Fiber,Part,Part
 4000 Psi DVC Concrete,Part,Part
 4000 Psi DVC Concrete ,Part,Part
 4000 Psi Rohrers Concrete,Part,Part
 4000 Psi Rohrers Concrete  ,Part,Part
 4000 Psi Trans-fleet Concrete  ,Part,Part
 4500 Psi Boger Concrete,Part,Part
 4500 Psi DVC Concrete,Part,Part
 4500 Psi Rohrers Concrete  ,Part,Part
 5000 Psi Concrete,Part,Part
 5000 Psi DVC Concrete,Part,Part
" 7' x 12"" High Walls ",Part,Part
 Class A Concrete,Part,Part
 Class A Rohrers Concrete,Part,Part
 Class AA Concrete,Part,Part
 Concrete,Part,Part
 Excavation ,Part,Part
 Excavation Sub - Contractor / B.R. Kreider ,Part,Part
 Excavation Subcontractor,Subcontractor,Subcontractor
 Excavation Sub-Contractor / B.R. Kreider,Part,Part
 Excavation Sub-Contractor / B.R. Kreider ,Part,Part
 Excavation Subcontractor / BN Excavating,Subcontractor,Subcontractor
 Excavation Subcontractor / BN Excavating ,Subcontractor,Subcontractor
 Fab Rebar Labor ,Labor,fab labor
" GreenGuard Scoreboard 2""x4'x8'",Part,Part
 Hot Water,Part,Part
 Labor,Labor,Labor 
 Labor ,Labor,Labor 
 Labor Pour and Finish,Labor,Pour And Finish Labor
 Labor Prep ,Labor,Labor 
 Mix 12 Heritage Concrete,Part,Part
 Porches ,Part,Part
 Prep Labor,Labor,Labor 
 Thickened Slab Concrete,Part,Part
 Wash Slabs ,Part,Part
#10 Rebar - 20' Pc,Part,Part
#11 Rebar - 20' Pc,Part,Part
#3 DEP Sand ,Part,Part
#3 Rebar - 20' Pc,Part,Part
"#3 Rebar - 20' Pc At 18"" On Center Each Way ",Part,Part
"#3 Rebar - Ties At 12"" On Center 3 At Top",Part,Part
"#4 At 12"" On Center Each Way Thick Slab",Part,Part
"#4 At 9"" On Center Each Way ",Part,Part
#4 Rebar,Part,Part
#4 Rebar ,Part,Part
#4 Rebar - 20' Pc,Part,Part
"#4 Rebar - 20' Pc - Thickened Slab At 24"" On Center",Part,Part
#4 Rebar - 20' Pc (1) Continuous ,Part,Part
#4 Rebar - 20' Pc (3) Continuous,Part,Part
#4 Rebar - 20' Pc (3) Continuous ,Part,Part
#4 Rebar - 20' Pc (3) Continuous In Footer,Part,Part
#4 Rebar - 20' Pc (5) Continuous Top ,Part,Part
"#4 Rebar - 20' Pc 12"" On Center Each Way ",Part,Part
#4 Rebar - 20' Pc 2 Continuous ,Part,Part
#4 Rebar - 20' Pc 2 Runs Continuous ,Part,Part
"#4 Rebar - 20' Pc 24"" On Center Each Way ",Part,Part
"#4 Rebar - 20' Pc 24"" On Center Horizontal ",Part,Part
"#4 Rebar - 20' Pc 24"" On Center Vertical ",Part,Part
#4 Rebar - 20' Pc 3 Continuous ,Part,Part
"#4 Rebar - 20' Pc At 12"" Mid Depth At Door In Footer",Part,Part
"#4 Rebar - 20' Pc At 12"" On Center",Part,Part
"#4 Rebar - 20' Pc At 12"" On Center Horizontal Top ",Part,Part
"#4 Rebar - 20' Pc At 12"" Vertical In Footer",Part,Part
"#4 Rebar - 20' Pc At 16"" On Center ",Part,Part
"#4 Rebar - 20' Pc At 16"" On Center Each Way ",Part,Part
"#4 Rebar - 20' Pc At 32"" On Center Vertical Dowels",Part,Part
#4 Rebar - 20' Pc Dowels ,Part,Part
"#4 Rebar - 20' Pc Dowels 48"" Long ",Part,Part
"#4 Rebar - 20' Pc Dowels At 12"" On Center",Part,Part
"#4 Rebar - 20' Pc Dowels At Thickend Edge 16"" On Center",Part,Part
#4 Rebar - 20' Pc Horizontal ,Part,Part
"#4 Rebar - 20' Pc Horizontal At 18"" On Center",Part,Part
"#4 Rebar - 20' Pc Horizontal At 24"" On Center",Part,Part
"#4 Rebar - 20' Pc Horizontal At 24"" On Center ",Part,Part
"#4 Rebar - 20' Pc Horizontal At 24"" On Center T&B",Part,Part
#4 Rebar - 20' Pc 'L' Bars,Part,Part
#4 Rebar - 20' Pc 'L' Dowels ,Part,Part
#4 Rebar - 20' Pc Slab To Slab Dowels ,Part,Part
#4 Rebar - 20' Pc Stirrups ,Part,Part
#4 Rebar - 20' Pc Straight Dowels ,Part,Part
#4 Rebar - 20' Pc Ties ,Part,Part
"#4 Rebar - 20' Pc Ties At 12"" On Center",Part,Part
"#4 Rebar - 20' Pc Ties At 48"" On Center",Part,Part
"#4 Rebar - 20' Pc Ties At 8"" On Center",Part,Part
#4 Rebar - 20' Pc Transverse,Part,Part
#4 Rebar - 20' Pc Vertical Dowels ,Part,Part
"#4 Rebar - 20' Pc Vertical Dowels At 18"" On Center",Part,Part
"#4 Rebar - 24"" On Center Transverse ",Part,Part
#4 Rebar - 3 Continuous ,Part,Part
"#4 Rebar - At 12"" ",Part,Part
"#4 Rebar - At 12"" On Center",Part,Part
"#4 Rebar - At 12"" On Center ",Part,Part
"#4 Rebar - At 12"" On Center Each Way ",Part,Part
#4 Rebar - Continuous At Elevator Pit,Part,Part
#4 Rebar - Dowels ,Part,Part
"#4 Rebar - Dowels At 18"" On Center",Part,Part
#4 Rebar - Horizontal ,Part,Part
"#4 Rebar - Horizontal At 16"" On Center",Part,Part
#4 Rebar - 'L' Bars,Part,Part
#4 Rebar - L Dowels ,Part,Part
#4 Rebar - 'L' Dowels ,Part,Part
#4 Rebar - Slab Dowel ,Part,Part
#4 Rebar - Straight Dowels ,Part,Part
"#4 Rebar - Vertical At 16"" On Center",Part,Part
"#4 Rebar 12"" On Center Horizontal - 20' Pc",Part,Part
"#4 Rebar At 12"" On center Each Way ",Part,Part
"#4 Rebar At 12"" On Center Each Way - 20' Pc",Part,Part
"#4 Rebar At 12"" On Center Each Way T&B",Part,Part
