Customer,Projectname,WIPMonth,%InMonth
"Hoover Building Specialists, Inc.",AB Martin 34 Denver Road,8/1/2025,17%
"Hoover Building Specialists, Inc.",AB Martin 34 Denver Road,10/1/2025,60%
"Hoover Building Specialists, Inc.",AB Martin 34 Denver Road,12/1/2025,23%
CH+N Site,Broadcasting District Site,5/1/2026,10%
CH+N Site,Broadcasting District Site,6/1/2026,10%
CH+N Site,Broadcasting District Site,7/1/2026,10%
CH+N Site,Broadcasting District Site,8/1/2026,10%
CH+N Site,Broadcasting District Site,9/1/2026,10%
CH+N Site,Broadcasting District Site,10/1/2026,10%
CH+N Site,Broadcasting District Site,11/1/2026,10%
CH+N Site,Broadcasting District Site,12/1/2026,10%
CH+N Site,Broadcasting District Site,1/1/2027,10%
CH+N Site,Broadcasting District Site,2/1/2027,10%
"C. Raymond Davis & Sons, Inc.",Canine Partners for Life,10/1/2025,15%
"C. Raymond Davis & Sons, Inc.",Canine Partners for Life,11/1/2025,35%
"C. Raymond Davis & Sons, Inc.",Canine Partners for Life,3/1/2026,50%
"B.R. Kreider & Son, Inc.",Clark Associates Lancaster,9/1/2025,40%
"B.R. Kreider & Son, Inc.",Clark Associates Lancaster,12/1/2025,40%
"B.R. Kreider & Son, Inc.",Clark Associates Lancaster,4/1/2026,20%
"Centurion Construction Group, LLC",Coplay Loadout Addition,10/1/2025,25%
"Centurion Construction Group, LLC",Coplay Loadout Addition,11/1/2025,45%
"Centurion Construction Group, LLC",Coplay Loadout Addition,12/1/2025,30%
"Hoover Building Specialists, Inc.",Family Treasures Wholesale,3/1/2026,50%
"Hoover Building Specialists, Inc.",Family Treasures Wholesale,4/1/2026,50%
"Hoover Building Specialists, Inc.",Goods Store - Ephrata State Street,10/1/2025,100%
"Hoover Building Specialists, Inc.",Goods Store Quarryville,11/1/2025,7%
"Hoover Building Specialists, Inc.",Goods Store Quarryville,2/1/2026,25%
"Hoover Building Specialists, Inc.",Goods Store Quarryville,4/1/2026,14%
"Hoover Building Specialists, Inc.",Goods Store Quarryville,10/1/2026,21%
"Hoover Building Specialists, Inc.",Goods Store Quarryville,11/1/2026,20%
"Hoover Building Specialists, Inc.",Goods Store Quarryville,12/1/2026,15%
"Centurion Construction Group, LLC",Mechanicsburg Volunteer Fire Department,12/1/2025,18%
"Centurion Construction Group, LLC",Mechanicsburg Volunteer Fire Department,2/1/2026,18%
"Centurion Construction Group, LLC",Mechanicsburg Volunteer Fire Department,3/1/2026,20%
"Centurion Construction Group, LLC",Mechanicsburg Volunteer Fire Department,4/1/2026,15%
"Centurion Construction Group, LLC",Mechanicsburg Volunteer Fire Department,5/1/2026,29%
CCS Building Group,Memory Care Meditation Building,12/1/2025,5%
CCS Building Group,Memory Care Meditation Building,1/1/2026,55%
CCS Building Group,Memory Care Meditation Building,2/1/2026,40%
CH+N Site,Middletown Area Primary School,4/1/2025,4%
CH+N Site,Middletown Area Primary School,5/1/2025,22%
CH+N Site,Middletown Area Primary School,6/1/2025,10%
CH+N Site,Middletown Area Primary School,3/1/2026,25%
CH+N Site,Middletown Area Primary School,4/1/2026,25%
CH+N Site,Middletown Area Primary School,5/1/2026,9%
CH+N Site,Middletown Area Primary School,6/1/2026,5%
"Hoover Building Specialists, Inc.",Paneling Sales- Main Building,11/1/2025,40%
"Hoover Building Specialists, Inc.",Paneling Sales- Main Building,12/1/2025,60%
"Hoover Building Specialists, Inc.",Shank Door Site,5/1/2026,10%
"Hoover Building Specialists, Inc.",Shank Door Site,6/1/2026,55%
"Hoover Building Specialists, Inc.",Shank Door Site,7/1/2026,25%
"Hoover Building Specialists, Inc.",Shank Door Site,8/1/2026,10%
CCS Building Group,Memory Care 3A,4/1/2026,30%
CCS Building Group,Memory Care 3A,5/1/2026,35%
CCS Building Group,Memory Care 3A,6/1/2026,35%
"Hoover Building Specialists, Inc.",Stevens Feed Mill Schoeneck,4/1/2026,10%
"Hoover Building Specialists, Inc.",Stevens Feed Mill Schoeneck,5/1/2026,5%
"Hoover Building Specialists, Inc.",Stevens Feed Mill Schoeneck,6/1/2026,15%
"Hoover Building Specialists, Inc.",Stevens Feed Mill Schoeneck,7/1/2026,20%
"Hoover Building Specialists, Inc.",Stevens Feed Mill Schoeneck,8/1/2026,25%
"Hoover Building Specialists, Inc.",Stevens Feed Mill Schoeneck,9/1/2026,25%
"Hoover Building Specialists, Inc.",Stoltzfus Hardwoods- Storage Building,1/1/2026,100%
Warfel Construction,Tel Hai Health Center,5/1/2026,25%
Warfel Construction,Tel Hai Health Center,6/1/2026,25%
Warfel Construction,Tel Hai Health Center,7/1/2026,25%
Warfel Construction,Tel Hai Health Center,8/1/2026,25%
CGA Construction,The Learning Experience,9/1/2025,25%
CGA Construction,The Learning Experience,10/1/2025,13%
CGA Construction,The Learning Experience,11/1/2025,62%
"Centurion Construction Group, LLC",Westminster Presbyterian Addition,2/1/2026,20%
"Centurion Construction Group, LLC",Westminster Presbyterian Addition,3/1/2026,65%
"Centurion Construction Group, LLC",Westminster Presbyterian Addition,4/1/2026,5%
"Centurion Construction Group, LLC",Westminster Presbyterian Addition,5/1/2026,10%
CGA Construction,Wildflower Commons - Future Building,12/1/2025,70%
CGA Construction,Wildflower Commons - Future Building,1/1/2026,30%
Jonas King,Jonas King Sidewalk,3/1/2026,100%
