"customer","csvCustomer","csvProjectName","csvMonth","csvPercent","csvHours","matchedProjectCount","matchedProjectsJson"
"","","Kendal Health Center","2025-03","5","0","0","[]"
"","","Kendal Health Center","2025-04","11","0","0","[]"
"","","Kendal Health Center","2025-05","16","0","0","[]"
"","","Kendal Health Center","2025-06","4","0","0","[]"
"","","AB Martin","2025-08","17","0","0","[]"
"","","AB Martin","2025-10","60","0","0","[]"
"","","AB Martin","2025-12","23","0","0","[]"
"","","Alderfer Eggs","2025-03","100","0","0","[]"
"","","Bench Mark Program","2025-01","100","0","0","[]"
"","","Blackhawk Ventures","2025-08","40","0","0","[]"
"","","Blackhawk Ventures","2025-10","35","0","0","[]"
"","","Blackhawk Ventures","2025-11","15","0","0","[]"
"","","Blackhawk Ventures","2025-12","10","0","0","[]"
"","","Brecknock Orchards","2025-11","15","0","0","[]"
"","","Brecknock Orchards","2025-12","57","0","0","[]"
"","","Brecknock Orchards","2026-03","28","0","0","[]"
"","","Broadcasting District","2026-05","10","0","0","[]"
"","","Broadcasting District","2026-06","10","0","0","[]"
"","","Broadcasting District","2026-07","10","0","0","[]"
"","","Broadcasting District","2026-08","10","0","0","[]"
"","","Broadcasting District","2026-09","10","0","0","[]"
"","","Broadcasting District","2026-10","10","0","0","[]"
"","","Broadcasting District","2026-11","10","0","0","[]"
"","","Broadcasting District","2026-12","10","0","0","[]"
"","","Broadcasting District","2027-01","10","0","0","[]"
"","","Broadcasting District","2027-02","10","0","0","[]"
"","","Canine Partners","2025-10","15","0","0","[]"
"","","Canine Partners","2025-11","35","0","0","[]"
"","","Canine Partners","2026-03","50","0","0","[]"
"","","CHS Elizabethtown","2025-09","45","0","0","[]"
"","","CHS Elizabethtown","2025-10","55","0","0","[]"
"","","CHS Elizabethtown","2025-11","100","0","0","[]"
"","","Clark Assoc","2025-09","40","0","0","[]"
"","","Clark Assoc","2025-12","40","0","0","[]"
"","","Clark Assoc","2026-04","20","0","0","[]"
"","","Coplay","2025-10","25","0","0","[]"
"","","Coplay","2025-11","45","0","0","[]"
"","","Coplay","2025-12","30","0","0","[]"
"","","Country Meadows","2025-02","35","0","0","[]"
"","","Country Meadows","2025-03","35","0","0","[]"
"","","Country Meadows","2025-05","30","0","0","[]"
"","","Country Meadows Freezer","2025-03","100","0","0","[]"
"","","Dental Suite Slab","2025-01","100","0","0","[]"
"","","Ducklings","2025-09","100","0","0","[]"
