procoreId,sourceProjectId,projectNumber,projectName,customer,status,duplicateSourceRows,needsReview
598134326378325,cmpmptuoj000a44dyfs1ckiok,2510 - SP,St Peters,"Centurion Construction Group, LLC",Estimating,1,false
598134326626273,cmpv6i5sn000317gmucj0c4rk,TG-new-codes,Test New Codes,davetoddtestcustomer,Bid Submitted,1,false
598134326628690,cmpwrphr40003yef2vjaaja3u,Test New Codes,Test New Codes,davetoddtestcustomer,Bid Submitted,1,false
598134326628693,cmpwrqa6v000kyef2v36wc38l,2603 - WR,WSCA Ramp,"Paradise Masonry, LLC New",Bid Submitted,1,false
598134326631038,cmpybmhey000311f42y7tsd5b,,New Project,"Paradise Masonry, LLC",Bid Submitted,1,false
598134326618439,cmpmno8j5000144dyyutbylg2,,New project,"Paradise Masonry, LLC",Bid Submitted,1,false
598134326542330,cmpgtooua000102gifharytss,12345,Sandbox Test Project,General Contractor (Demo Company),In Progress,1,false
598134326378308,cmpmqry4h000e44dy0vnpx20r,2509 - PA,Pro Ag,Scenic Ridge Construction,In Progress,1,false
598134326559089,cmq87a44e002014dx8ud494z3,2602 - GI,Giant #6459,"Paradise Masonry, LLC",Bid Submitted,1,false
598134326634438,cmq0zmid80010ytdvlojmls43,2508 - GI,Giant #6582,"Ames Construction, Inc.",Bid Submitted,1,false
598134326601975,cmpxxbfs60008wudz2imct2zb,WR - 2603,WSCA Ramp,"Centurion Construction Group, LLC",Bid Submitted,1,false
598134326542329,cmpgtooy3000202gi9w5q7s4h,,Standard Project Template,"Paradise Masonry, LLC New",Bid Submitted,1,false
598134326601978,cmpmoyhhv000544dyhpsg87y5,2512-WW,Wolfgang - Warrell Warehouse 4,"Centurion Construction Group, LLC",In Progress,1,false
598134326612123,cmpgtoopy000002gisv07k5x5,,Default Estimating Template,"Paradise Masonry, LLC New",Bid Submitted,1,false
598134326618317,cmpmn3d7j000044dy7mjmqg84,*Testing,New project,"Paradise Masonry, LLC",Bid Submitted,1,false
598134326198819,cmpx045h4000307f608di2vbx,2506 - FTW,Family Treasures Wholesale,"Hoover Building Specialists, Inc.",In Progress,1,false
598134326628443,cmpwomzsq0003zsghht9a59w6,TG-new codes,TG-new codes,davetoddtestcustomer,Bid Submitted,1,false
598134326244841,cmq59iwsc00031be4mi6kur1h,2505-MF,Mechanicsburg Volunteer Fire Department,"Centurion Construction Group, LLC",In Progress,1,false
598134326642611,cmq9mwsak000l3tdwqtcgnxp1,2605 - M,Marlee Phase II,"Paradise Masonry, LLC",Bid Submitted,1,false
598134326630602,cmpy5ggtj00030hdxft09qhyl,2606 - WI,Weaver Industries,"Paradise Masonry, LLC New",Bid Submitted,1,false
598134326634377,cmq0yvvlh0003ytdvgdkj328r,2508 - WD,Washburn Dam,Berg Construction,Complete,1,false
598134326377799,cmqb0sa1i0003yhf91c5mkpag,2509 - MCH,Modern Country Homes,"Paradise Masonry, LLC",In Progress,1,false
598134326642608,cmq9mvvah00033tdwmx1p6m20,2606 - GMBS,Giorgio Mushroom Building Slab,"Paradise Masonry, LLC",Bid Submitted,1,false
598134326608654,cmqf3biyd0003w5f67z4l5kkh,2602 - ROB,Rohrers Office Building,"Paradise Masonry, LLC",In Progress,1,false
