source,sourceId,jobKey,companyId,procoreProjectId,projectNumber,projectName,customer,canBackfill,reason,allocationCount,monthlyAllocationHours,totalHours
Schedule,cmqf6tin80013v0f4khlqrhvx,"Paradise Masonry, LLC~2602 - ROB~Rohrers Office Building",598134325805519,598134326608654,2602 - ROB,Rohrers Office Building,"Paradise Masonry, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6tik10011v0f4lglrtg0d,"Paradise Masonry, LLC~2606 - GMBS~Giorgio Mushroom Building Slab",598134325805519,598134326642608,2606 - GMBS,Giorgio Mushroom Building Slab,"Paradise Masonry, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6tiia000zv0f4eo63nf68,"Paradise Masonry, LLC~2509 - MCH~Modern Country Homes",598134325805519,598134326377799,2509 - MCH,Modern Country Homes,"Paradise Masonry, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6tig9000xv0f4rort48dn,Berg Construction~2508 - WD~Washburn Dam,598134325805519,598134326634377,2508 - WD,Washburn Dam,Berg Construction,true,exact_project_relation,0,0,0
Schedule,cmqf6tiea000vv0f4qy1ew4ok,"Paradise Masonry, LLC New~2606 - WI~Weaver Industries",598134325805519,598134326630602,2606 - WI,Weaver Industries,"Paradise Masonry, LLC New",true,exact_project_relation,0,0,0
Schedule,cmqf6ticf000tv0f46p8lqte3,"Paradise Masonry, LLC~2605 - M~Marlee Phase II",598134325805519,598134326642611,2605 - M,Marlee Phase II,"Paradise Masonry, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6tiaq000rv0f4lyxvzowk,"Centurion Construction Group, LLC~2505-MF~Mechanicsburg Volunteer Fire Department",598134325805519,598134326244841,2505-MF,Mechanicsburg Volunteer Fire Department,"Centurion Construction Group, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6ti8x000pv0f4a0bru0iz,davetoddtestcustomer~TG-new codes~TG-new codes,598134325805519,598134326628443,TG-new codes,TG-new codes,davetoddtestcustomer,true,exact_project_relation,0,0,0
Schedule,cmqf6ti76000nv0f4lrkbopt6,"Hoover Building Specialists, Inc.~2506 - FTW~Family Treasures Wholesale",598134325805519,598134326198819,2506 - FTW,Family Treasures Wholesale,"Hoover Building Specialists, Inc.",true,exact_project_relation,0,0,0
Schedule,cmqf6ti5i000lv0f4zhuh3umn,"Paradise Masonry, LLC~*Testing~New project",598134325805519,598134326618317,*Testing,New project,"Paradise Masonry, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6ti3r000jv0f4mtp7uek0,"Centurion Construction Group, LLC~2512-WW~Wolfgang - Warrell Warehouse 4",598134325805519,598134326601978,2512-WW,Wolfgang - Warrell Warehouse 4,"Centurion Construction Group, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6ti23000hv0f4dvag82re,"Centurion Construction Group, LLC~WR - 2603~WSCA Ramp",598134325805519,598134326601975,WR - 2603,WSCA Ramp,"Centurion Construction Group, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6ti09000fv0f4yqvymn6h,"Ames Construction, Inc.~2508 - GI~Giant #6582",598134325805519,598134326634438,2508 - GI,Giant #6582,"Ames Construction, Inc.",true,exact_project_relation,0,0,0
Schedule,cmqf6thyf000dv0f4evorhhmw,"Paradise Masonry, LLC~2602 - GI~Giant #6459",598134325805519,598134326559089,2602 - GI,Giant #6459,"Paradise Masonry, LLC",true,exact_project_relation,0,0,0
Schedule,cmqf6thwh000bv0f4ejqpyeyn,Scenic Ridge Construction~2509 - PA~Pro Ag,598134325805519,598134326378308,2509 - PA,Pro Ag,Scenic Ridge Construction,true,exact_project_relation,0,0,0
Schedule,cmqf6thus0009v0f4ehzwlc8r,General Contractor (Demo Company)~12345~Sandbox Test Project,598134325805519,598134326542330,12345,Sandbox Test Project,General Contractor (Demo Company),true,exact_project_relation,0,0,0
Schedule,cmqf6tht10007v0f4d4qgbti9,"Paradise Masonry, LLC New~2603 - WR~WSCA Ramp",598134325805519,598134326628693,2603 - WR,WSCA Ramp,"Paradise Masonry, LLC New",true,exact_project_relation,0,0,0
Schedule,cmqf6thra0005v0f4ymb3rgv6,davetoddtestcustomer~Test New Codes~Test New Codes,598134325805519,598134326628690,Test New Codes,Test New Codes,davetoddtestcustomer,true,exact_project_relation,0,0,0
Schedule,cmqf6thpj0003v0f43ltjwhuu,davetoddtestcustomer~TG-new-codes~Test New Codes,598134325805519,598134326626273,TG-new-codes,Test New Codes,davetoddtestcustomer,true,exact_project_relation,0,0,0
Schedule,cmqf6thn30001v0f46ztsn43y,"Centurion Construction Group, LLC~2510 - SP~St Peters",598134325805519,598134326378325,2510 - SP,St Peters,"Centurion Construction Group, LLC",true,exact_project_relation,0,0,0
