bidBoardId,name,status
598134325805519:562949955830770,Jakobsen Motors,BID_SUBMITTED
598134325805519:562949955831080,Geoprobe,BID_SUBMITTED
598134325805519:562949955834331,Black Rock Gymnasium,BID_SUBMITTED
598134325805519:562949955835264,Lapp Electric Warehouse Renovation,BID_SUBMITTED
598134325805519:562949955838439,Newark Delaware Project,BID_SUBMITTED
598134325805519:562949955839532,Township Of Spring Police Department,BID_SUBMITTED
598134325805519:562949955842405,Evergreen Project,BID_SUBMITTED
598134325805519:562949955842451,Garman Coal & Mulch,ESTIMATING
598134325805519:562949955847254,Sadsbury Commons Midbox Site,ESTIMATING
598134325805519:562949955849233,Autohaus Lancaster Porsche,ESTIMATING
598134325805519:562949955850242,Ciccocioppo Garage,BID_SUBMITTED
598134325805519:562949955854695,Shank Door Main Building,ESTIMATING
598134325805519:562949955854696,Willow Grove Site,ESTIMATING
598134325805519:562949955854697,Lancaster Archery,ESTIMATING
598134325805519:562949955854698,Melvin Weaver 2024,ESTIMATING
598134325805519:562949955854699,Landis Homes - The Meadows Building 3,ESTIMATING
598134325805519:562949955855939,Double Run Carriers,ESTIMATING
