legacyProjectId,procoreProjectId,bidBoardId,projectNumber,projectName,customer,status
cmpmn3d7j000044dy7mjmqg84,598134326618317,,*Testing,New project,"Paradise Masonry, LLC",Bid Submitted
cmpgtooua000102gifharytss,598134326542330,,12345,Sandbox Test Project,General Contractor (Demo Company),In Progress
cmq59iwsc00031be4mi6kur1h,598134326244841,,2505-MF,Mechanicsburg Volunteer Fire Department,"Centurion Construction Group, LLC",In Progress
cmpx045h4000307f608di2vbx,598134326198819,,2506 - FTW,Family Treasures Wholesale,"Hoover Building Specialists, Inc.",In Progress
cmqb0sa1i0003yhf91c5mkpag,598134326377799,,2509 - MCH,Modern Country Homes,"Paradise Masonry, LLC",In Progress
cmpmqry4h000e44dy0vnpx20r,598134326378308,,2509 - PA,Pro Ag,Scenic Ridge Construction,In Progress
cmpmptuoj000a44dyfs1ckiok,598134326378325,,2510 - SP,St Peters,"Centurion Construction Group, LLC",Estimating
cmpmoyhhv000544dyhpsg87y5,598134326601978,,2512-WW,Wolfgang - Warrell Warehouse 4,"Centurion Construction Group, LLC",In Progress
cmq87a44e002014dx8ud494z3,598134326559089,,2602 - GI,Giant #6459,"Paradise Masonry, LLC",Bid Submitted
cmqf3biyd0003w5f67z4l5kkh,598134326608654,,2602 - ROB,Rohrers Office Building,"Paradise Masonry, LLC",In Progress
cmq9mwsak000l3tdwqtcgnxp1,598134326642611,,2605 - M,Marlee Phase II,"Paradise Masonry, LLC",Bid Submitted
cmq9mvvah00033tdwmx1p6m20,598134326642608,,2606 - GMBS,Giorgio Mushroom Building Slab,"Paradise Masonry, LLC",Bid Submitted
cmpwomzsq0003zsghht9a59w6,598134326628443,,TG-new codes,TG-new codes,davetoddtestcustomer,Bid Submitted
cmpv6i5sn000317gmucj0c4rk,598134326626273,,TG-new-codes,Test New Codes,davetoddtestcustomer,Bid Submitted
cmpwrphr40003yef2vjaaja3u,598134326628690,,Test New Codes,Test New Codes,davetoddtestcustomer,Bid Submitted
cmpxxbfs60008wudz2imct2zb,598134326601975,,WR - 2603,WSCA Ramp,"Centurion Construction Group, LLC",Bid Submitted
cmpgtoopy000002gisv07k5x5,598134326612123,562949955798587,,Default Estimating Template,"Paradise Masonry, LLC New",Bid Submitted
cmpybmhey000311f42y7tsd5b,598134326631038,,,New Project,"Paradise Masonry, LLC",Bid Submitted
cmpmno8j5000144dyyutbylg2,598134326618439,562949955798698,,New project,"Paradise Masonry, LLC",Bid Submitted
cmpgtooy3000202gi9w5q7s4h,598134326542329,,,Standard Project Template,"Paradise Masonry, LLC New",Bid Submitted
